iter	Passed	Remaining
887	1014	127
888	1015	126
889	1016	125
890	1017	124
891	1018	123
892	1019	122
893	1020	121
894	1023	120
895	1025	118
896	1026	117
897	1026	116
898	1027	115
899	1028	114
900	1029	113
901	1030	111
902	1031	110
903	1032	109
904	1033	108
905	1034	107
906	1035	106
907	1036	105
908	1037	103
909	1040	102
910	1041	101
911	1043	100
912	1044	99
913	1045	98
914	1046	97
915	1047	96
916	1048	94
917	1049	93
918	1050	92
919	1051	91
920	1052	90
921	1053	89
922	1055	88
923	1056	86
924	1059	85
925	1060	84
926	1061	83
927	1062	82
928	1063	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1071	75
934	1072	74
935	1073	73
936	1073	72
937	1074	71
938	1075	69
939	1076	68
940	1076	67
941	1077	66
942	1078	65
943	1079	64
944	1079	62
945	1080	61
946	1081	60
947	1082	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1087	51
955	1088	50
956	1089	48
957	1090	47
958	1090	46
959	1091	45
960	1092	44
961	1092	43
962	1093	42
963	1094	40
964	1095	39
965	1095	38
966	1096	37
967	1097	36
968	1098	35
969	1100	34
970	1101	32
971	1102	31
972	1102	30
973	1103	29
974	1104	28
975	1105	27
976	1106	26
977	1106	24
978	1107	23
979	1108	22
980	1109	21
981	1109	20
982	1110	19
983	1111	18
984	1112	16
985	1112	15
986	1113	14
987	1115	13
988	1116	12
989	1117	11
990	1118	10
991	1118	9
992	1119	7
993	1120	6
994	1121	5
995	1121	4
996	1122	3
997	1123	2
998	1124	1
999	1125	0
